id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
6515,URMN,medium_airport,Nalchik Airport,43.512901306152344,43.636600494384766,1461,EU,RU,RU-KB,Nalchik,yes,URMN,NAL,URMN,,,https://en.wikipedia.org/wiki/Nalchik_Airport,
6516,URMO,medium_airport,Vladikavkaz Beslan International Airport,43.205101,44.606602,1673,EU,RU,RU-SE,Beslan,yes,URMO,OGZ,URMO,,,https://en.wikipedia.org/wiki/Beslan_Airport,"Beslan Airport, Аэропорт Беслан, Аэропорт Владикавказ"
43689,URMS,medium_airport,Magas Airport,43.323268,45.012568,1165,AS,RU,RU-IN,Sunzha,yes,URMS,IGT,URMS,,,https://en.wikipedia.org/wiki/Magas_Airport,"Sleptsovskaya Airport, Ingushetiya Airport, Ingushetia Airport, Аэропорт Магас, Аэропорт Слепцовская, Аэропорт Ингушетия, Nazran"
6517,URMT,medium_airport,Stavropol Shpakovskoye Airport,45.10919952392578,42.11280059814453,1486,EU,RU,RU-STA,Stavropol,yes,URMT,STW,URMT,,,https://en.wikipedia.org/wiki/Stavropol_Shpakovskoye_Airport,
42954,UROD,medium_airport,Dudinka Airport,69.375,86.15667,82,AS,RU,RU-KYA,Dudinka,no,,,UROD,,,https://en.wikipedia.org/wiki/Dudinka_Airport,Аэропорт Дудинка
46141,URRH,small_airport,Shakhty Airfield,47.697,40.287,,EU,RU,RU-ROS,Shakhty,no,,,URRH,,,https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D1%85%D1%82%D1%8B_(%D0%B0%D1%8D%D1%80%D0%BE%D0%BF%D0%BE%D1%80%D1%82),"Аэропорт Шахты, УРРХ"
507374,URRN,small_airport,Potapov,47.465981,41.925036,,EU,RU,RU-ROS,,no,,,URRN,,,,
326363,URRP,large_airport,Platov International Airport,47.493888,39.924722,213,EU,RU,RU-ROS,Rostov-on-Don,yes,URRP,ROV,URRP,,,https://en.wikipedia.org/wiki/Platov_International_Airport,"УРРП, Международный аэропорт Платов"
44865,URRT,medium_airport,Taganrog Yuzhny Airport,47.1983333,38.8491667,117,EU,RU,RU-ROS,Taganrog,yes,URRT,TGK,URRT,,http://www.beriev.com/rus/airport.html,https://ru.wikipedia.org/wiki/Таганрог-Южный_(аэропорт),"Taganrog South Airport, Аэропорт Таганрог Южный"
6519,URSS,large_airport,Sochi International Airport,43.449902,39.9566,89,EU,RU,RU-KDA,Sochi,yes,URSS,AER,URSS,,https://aer.aero/en,https://en.wikipedia.org/wiki/Sochi_International_Airport,"Adler Airport, Black Sea, Международный Аэропорт Сочи"
6520,URWA,medium_airport,Astrakhan Narimanovo Boris M. Kustodiev International Airport,46.282843,48.010511,-65,AS,RU,RU-AST,Astrakhan,yes,URWA,ASF,URWA,,http://xn--80aaaa9dcahhdbllc1cxhc.xn--p1ai/,https://en.wikipedia.org/wiki/Narimanovo_Airport,"Astrahan Airport, Narimanovo Airport, Аэропорт Астрахань, Аэропорт Нариманово"
6521,URWI,medium_airport,Elista Airport,46.3739013671875,44.33089828491211,501,EU,RU,RU-KL,Elista,yes,URWI,ESL,URWI,,,https://en.wikipedia.org/wiki/Elista_Airport,
6522,URWW,medium_airport,Volgograd International Airport,48.782501220703125,44.34550094604492,482,EU,RU,RU-VGG,Volgograd,yes,URWW,VOG,URWW,,,https://en.wikipedia.org/wiki/Volgograd_International_Airport,"Gumrak Airport, Аэропорт Волгоград, Аэропорт Гумрак"
302218,US-0214,closed,RAF Castle Archdale/RAF Lough Erne,54.4806105242,-7.72707939148,,EU,GB,GB-NIR,County Fermanagh,no,,,,,,https://en.wikipedia.org/wiki/RAF_Castle_Archdale,
302246,US-0216,closed,RAF Carnaby,54.060833,-0.261667,33,EU,GB,GB-ENG,"Bridlington, East Riding of Yorkshire",no,,,,,,https://en.wikipedia.org/wiki/RAF_Carnaby,
302254,US-0218,closed,RAF Catfoss,53.9199600906,-0.276460647583,36,EU,GB,GB-ENG,Yorkshire,no,,,,,,https://en.wikipedia.org/wiki/RAF_Catfoss,
302255,US-0219,closed,RNAS Cattewater/RAF Cattewater/RAF Mount Batten,50.358889,-4.13,,EU,GB,GB-ENG,Devon,no,,,,,,https://en.wikipedia.org/wiki/RAF_Cattewater,
